"Name","DistinguishedName"
"Administrators","CN=Administrators,CN=Builtin,DC=test,DC=test"
"Users","CN=Users,CN=Builtin,DC=test,DC=test"
"Guests","CN=Guests,CN=Builtin,DC=test,DC=test"
"Print Operators","CN=Print Operators,CN=Builtin,DC=test,DC=test"
"Backup Operators","CN=Backup Operators,CN=Builtin,DC=test,DC=test"
"Replicator","CN=Replicator,CN=Builtin,DC=test,DC=test"
"Remote Desktop Users","CN=Remote Desktop Users,CN=Builtin,DC=test,DC=test"
"Network Configuration Operators","CN=Network Configuration Operators,CN=Builtin,DC=test,DC=test"
"Performance Monitor Users","CN=Performance Monitor Users,CN=Builtin,DC=test,DC=test"
"Performance Log Users","CN=Performance Log Users,CN=Builtin,DC=test,DC=test"
"Distributed COM Users","CN=Distributed COM Users,CN=Builtin,DC=test,DC=test"
"IIS_IUSRS","CN=IIS_IUSRS,CN=Builtin,DC=test,DC=test"
"Cryptographic Operators","CN=Cryptographic Operators,CN=Builtin,DC=test,DC=test"
"Event Log Readers","CN=Event Log Readers,CN=Builtin,DC=test,DC=test"
"Certificate Service DCOM Access","CN=Certificate Service DCOM Access,CN=Builtin,DC=test,DC=test"
"RDS Remote Access Servers","CN=RDS Remote Access Servers,CN=Builtin,DC=test,DC=test"
"RDS Endpoint Servers","CN=RDS Endpoint Servers,CN=Builtin,DC=test,DC=test"
"RDS Management Servers","CN=RDS Management Servers,CN=Builtin,DC=test,DC=test"
"Hyper-V Administrators","CN=Hyper-V Administrators,CN=Builtin,DC=test,DC=test"
"Access Control Assistance Operators","CN=Access Control Assistance Operators,CN=Builtin,DC=test,DC=test"
"Remote Management Users","CN=Remote Management Users,CN=Builtin,DC=test,DC=test"
"Storage Replica Administrators","CN=Storage Replica Administrators,CN=Builtin,DC=test,DC=test"
"Domain Computers","CN=Domain Computers,CN=Users,DC=test,DC=test"
"Domain Controllers","CN=Domain Controllers,CN=Users,DC=test,DC=test"
"Schema Admins","CN=Schema Admins,CN=Users,DC=test,DC=test"
"Enterprise Admins","CN=Enterprise Admins,CN=Users,DC=test,DC=test"
"Cert Publishers","CN=Cert Publishers,CN=Users,DC=test,DC=test"
"Domain Admins","CN=Domain Admins,CN=Users,DC=test,DC=test"
"Domain Users","CN=Domain Users,CN=Users,DC=test,DC=test"
"Domain Guests","CN=Domain Guests,CN=Users,DC=test,DC=test"
"Group Policy Creator Owners","CN=Group Policy Creator Owners,CN=Users,DC=test,DC=test"
"RAS and IAS Servers","CN=RAS and IAS Servers,CN=Users,DC=test,DC=test"
"Server Operators","CN=Server Operators,CN=Builtin,DC=test,DC=test"
"Account Operators","CN=Account Operators,CN=Builtin,DC=test,DC=test"
"Pre-Windows 2000 Compatible Access","CN=Pre-Windows 2000 Compatible Access,CN=Builtin,DC=test,DC=test"
"Incoming Forest Trust Builders","CN=Incoming Forest Trust Builders,CN=Builtin,DC=test,DC=test"
"Windows Authorization Access Group","CN=Windows Authorization Access Group,CN=Builtin,DC=test,DC=test"
"Terminal Server License Servers","CN=Terminal Server License Servers,CN=Builtin,DC=test,DC=test"
"Allowed RODC Password Replication Group","CN=Allowed RODC Password Replication Group,CN=Users,DC=test,DC=test"
"Denied RODC Password Replication Group","CN=Denied RODC Password Replication Group,CN=Users,DC=test,DC=test"
"Read-only Domain Controllers","CN=Read-only Domain Controllers,CN=Users,DC=test,DC=test"
"Enterprise Read-only Domain Controllers","CN=Enterprise Read-only Domain Controllers,CN=Users,DC=test,DC=test"
"Cloneable Domain Controllers","CN=Cloneable Domain Controllers,CN=Users,DC=test,DC=test"
"Protected Users","CN=Protected Users,CN=Users,DC=test,DC=test"
"Key Admins","CN=Key Admins,CN=Users,DC=test,DC=test"
"Enterprise Key Admins","CN=Enterprise Key Admins,CN=Users,DC=test,DC=test"
"DnsAdmins","CN=DnsAdmins,CN=Users,DC=test,DC=test"
"DnsUpdateProxy","CN=DnsUpdateProxy,CN=Users,DC=test,DC=test"
